,superkingdom,phylum,class,order,family,genus,species,tax_id,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,barcode25,barcode26,barcode27,barcode28,barcode29,barcode30,barcode31,barcode32,barcode33,barcode34,barcode35,barcode36,barcode37,barcode38,barcode39,barcode40,barcode41,barcode42,barcode43,barcode44,barcode45,barcode46,barcode47,barcode48,barcode49,barcode50,barcode51,barcode52,barcode53,barcode54,barcode55,barcode56,barcode57,barcode58,barcode59,barcode60,barcode61,barcode62,barcode63,barcode64,barcode65,barcode66,barcode67,barcode68,barcode69,barcode70,barcode71,barcode72,barcode73,barcode74,barcode75,barcode76,barcode77,barcode78,barcode79,barcode80,barcode81,barcode82,barcode83,barcode84,barcode85,barcode88,barcode89
0,Bacteria,Candidatus Saccharibacteria,,,,,Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,2056494,0.0018306635284456,0.0020823965006953,0.0014734064769749,0.0024911227032257,0.0025808946788659,0.0022022660291848,0.0018957740006305,0.0021167772205851,0.0021184201349866,0.0032438654260834,0.0026841952148449,0.001786193262968,0.0020850266812734,0.00236526699999,0.0027090694935219,0.0021402894702691,0.0024690721103249,0.0024351068484341,0.0018459984694054,0.0024389638348574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032810019915385,
1,Bacteria,,Candidatus Babeliae,Candidatus Babeliales,Candidatus Babeliaceae,Candidatus Babela,Candidatus Babela massiliensis,673862,0.0006610729722857,0.0009655007147059,0.0009821574725814,0.0010525770845658,0.0010964412749336,0.0010368017015087,0.0017963196270071,0.0010974874044436,0.0015771296805078,0.0024590592662331,0.0015893195649526,0.0009097702827691,0.0011308619237151,0.0008767477273776,0.0014270850994393,0.0011413227249279,0.0011120949487784,0.0012750455373417,0.0011737600823756,0.0008361613142667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006229753436063,
2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Ferruginibacter paludis,1310417,0.001118969082582,0.0006856281435032,0.0013094950450383,0.0005811700394569,0.000742601353042,0.0005995294166935,0.0009277162551268,0.0010485577459607,0.001736162876157,0.0010681802724773,0.0010565108033189,0.0007550369827107,0.0007153594203976,,0.0011717681017565,0.000640157856725,0.0010617378042078,0.0009334769607356,0.0011250045136783,0.0006988128031542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006970038808091,
3,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter ginsenosidimutans,661481,0.0010153920652093,,,0.0004908244370576,,0.0004434912066945,,,,,,0.0006536934206318,0.0004864615605337,,0.0011373008000243,0.0004377765893629,0.0007247476153598,0.0004567223078913,0.0005757331827649,,0.0114962727665541,0.001286479468382,0.019722003226443,0.0126693642146968,0.0053075209571419,0.0042157656233599,0.0220748548573298,0.0027531029551129,0.0181926303374595,0.0278137251299725,0.0158185283671731,0.0040820896465156,0.0109184287174373,0.0062539997306867,0.0109401651328968,0.0032451158827841,0.0024667336390644,0.0086501003388169,0.0060138527291139,0.0059460418101416,0.0052390157407176,0.0021499319128009,0.0034791108916191,0.0065773002870017,0.0043318881868582,0.0049601906309424,0.0089672343173186,0.0243038499999655,0.0061241220915255,0.0032485686499288,0.0179383810019461,0.0126268560113737,0.0026863710679752,0.0103748319737021,0.0175319991629497,0.0110145999527942,0.0029002385479382,0.0037943379661279,0.0200142837509775,0.0097310292524921,0.006814437955684,0.0025840755776119,0.0075572803357277,0.0086867394470919,0.0039881819396667,0.0052828606279947,0.0153212272150279,0.0037639348468235,0.0026628238610127,0.0176155268069247,0.0039450414902515,0.0079415748551421,0.0027265667584106,0.0006625597625432,0.0132842386148587,0.0049792774260903,0.0019350758195459,0.0012182724408174,0.0133865427926941,0.0032226954100973,0.0047086386668897,0.0030424345626868,0.0169501334449476,0.0120441549043693,,0.0011001464232394,
4,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella vici,1703345,0.0008204540108259,0.0004037850824188,,0.0003024766357482,,0.0003625974872848,,0.0005789176412739,0.0006885422040798,0.0015168099877574,,0.0005202929076713,0.000527369354615,0.0007430072716203,0.0013042002845414,0.0003183358281092,0.0004052720742167,0.0005353443245074,,0.0005217520944599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005310585443673,
5,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas soli,2024524,0.001723547359085,0.0011803280592089,0.0022917490210935,0.0011241461031063,0.0015527404154146,0.0012664258687156,0.0019273691205358,0.0013944623088855,0.0024121481280684,0.002821764220452,0.0019663943091457,0.0018025398456485,0.0020552743654877,0.0024558900418635,0.0022187627594538,0.0015397235391166,0.0020909604291723,0.0013024562732206,0.0014455195658282,0.0013973613949904,,,0.0005220811039586,,,,,0.0005355415577623,0.001547681889959,0.0005729663738955,0.0007107083809397,,0.0066301968821895,,0.0011352738467052,,,,,0.0005740469367071,,,0.0002666686283101,,0.0004947776603733,,0.000301772395441,0.0005789305691565,,,0.0008618779740855,,,,0.0004835583392285,0.0011217193660549,,,,0.0002634596019558,,,0.0002422013447352,0.0009513071378971,,,0.0005804026036882,,,0.000682972207697,,0.0003386548890572,,,,0.0006318419463478,,,0.0004032508076595,,,,0.0004751108747956,,,0.002722790034562,
6,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Chryseolinea,Chryseolinea soli,2321403,0.001067887109077,0.0005224748713071,0.0013095432967752,0.000762131085269,0.001783951127398,0.0014776386637052,0.0016940948693126,0.0009408075264603,0.0017243122786359,0.0012556898446083,0.0014480469025923,0.0009747538746466,0.0012368802346538,0.0013381938996816,0.0011778563006639,0.001264714466378,0.0009670878178131,0.001244687310261,0.0011315058551999,0.0008656935331708,,,,,,0.0014749262536923,,,,,0.0011223404010603,,,0.0004394059229484,0.0011206392516078,,,,,,0.0009101210547771,,0.0012909197194076,0.0007205187735169,0.0005608953930092,0.0018238769279568,0.0006134679816902,0.0007894170533593,0.0007350238882763,,0.0011810480579452,,0.0007132080647373,,,,0.0014240433644172,,0.0007381819505579,,,,,0.0004450642376049,,0.0009191696044019,,,0.0003043985591806,,,,,0.0003646308113035,,0.0032611157335186,,0.0008005433307734,,0.0012748374753898,,,,,,0.000996760528283,
7,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas aurantiaca,173480,0.0027347612454861,0.0019644362409871,0.0027850663674332,0.0021241329447242,0.0021970471103443,0.0020622434535744,0.0022779875277838,0.0020120791407982,0.0023484784548084,0.0027088065491885,0.0022383512437187,0.003395721542752,0.0020349100736117,0.0023159859926331,0.0018254087035977,0.0015128602234576,0.0019845566773215,0.0017427435149506,0.0022696256742447,0.0021393756754724,,0.0003230608112181,,,0.0022123087178949,0.0009359171294528,,0.0006518617887541,0.0009929135110573,,0.0009082225912996,,0.0038426072428652,0.0016126805278919,0.0015335466630795,0.0011770472375725,0.0046321266510438,0.0004255533803518,0.0011429755865414,0.0006121980465693,0.0015413254014388,0.0012916201780771,,,0.000866999541379,0.0006802452473168,0.000518407230945,0.0011098251840882,0.001299510372143,0.0009666499103873,0.0005418747065503,0.0012661577641585,0.0007679527717412,0.0006902379988065,0.0008181241282529,0.0011562765251809,,0.0011622868765936,0.0006356385825187,0.000700220003057,,0.0009116180420183,0.0011124165803216,0.0028847736840841,0.0005156908834012,0.0006257009553049,0.0013977102565915,,,0.0007694650628605,,0.0009458567998587,0.0010757345694586,0.0005868358700423,0.0011834216566307,0.0011773216581377,0.0061940936241984,0.0029832546797003,0.001061838396729,0.0011295956131733,0.000614625922132,,0.0017851221712429,0.0010545282778907,,0.0025034925046743,
8,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,1379270,0.002622048071281,0.0033679369902256,0.0025977688154557,0.0035157516038422,0.0035676459286804,0.0031837433114146,0.0034854408241545,0.0029915046445306,0.0026187815791899,0.0034267063469409,0.0034127015996136,0.0035883418549906,0.0033724825531988,0.0023044032911347,0.0030698137648347,0.0020724090839881,0.0028767780688526,0.0029091008925766,0.0028997211922189,0.0036212839856188,0.0007396491221626,0.0029038768604424,,,0.0035902256918774,0.0010135565780317,,,0.0005341389132991,0.0044199081526498,0.0003361523204749,,0.0058099603177851,0.0003502643572602,0.0003766846961859,0.00040104204245,0.0028046659519801,0.0004011347498969,0.0005190967882146,,0.0004218202744835,0.0003041170523591,,0.0008016515779798,0.0004087699008101,,0.0003074150520995,0.0011562946936055,0.0007763746880383,,,0.0027586386192765,,0.0015886097032392,,0.0003867048500753,,0.0040005678648066,0.0011313186533688,,,,0.0003147153720344,0.0006298270897784,0.000698800007663,0.0002973398191769,,,,,0.0023982330538289,0.0004030904144046,0.0005197837869018,,0.0013879387199736,0.0005466310108736,0.0127913507016808,0.0017930055981427,0.0070677905432671,0.0058112279681569,0.0003485608533313,,0.0020488783737402,0.0015778944992285,,0.0029566996888685,
9,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Gemmatirosa kalamazoonesis,861299,0.0080852781300264,0.0084527823396791,0.0089246923063767,0.0109253434577679,0.0080653664516902,0.0074641739085523,0.0082373699353826,0.009502417020471,0.0066595444831791,0.0085272114195989,0.0087516131260808,0.0091879494981831,0.0087051377621382,0.0072405582783227,0.0058198472928457,0.0073072742939545,0.0064962890100635,0.0067088891761269,0.009389901098716,0.0110767314886067,,,,,,,,,,,0.0003370835855991,,,,,,,,,,,,,,,,,,,,,,,,,0.0007336286409594,,,,,,,,,,,,,0.000501050708631,,,,,,,,,,,,,,,,,0.0124579286000077,
